mgi_id	gene_name	ensemble_id	uberon_annotations
mgi:3612429	tg(gria2*586n)238.2rsp	not_found	uberon_0001898,uberon_0000349,uberon_0000955,uberon_0001016,uberon_0001935,uberon_0001871,uberon_0001876,uberon_0001954,uberon_0002240,uberon_0002315,uberon_0001890,uberon_0001893,uberon_0001894,uberon_0000468,uberon_0001869,uberon_0003883,uberon_0002257,uberon_0002421
mgi:2652743	tth	not_found	uberon_0000079,uberon_0000468,uberon_0002105
mgi:2661445	ctnna3	ensmusg00000060843	uberon_0000358,uberon_0000383,uberon_0004345,uberon_0006265,uberon_0000922,uberon_0004716,uberon_0008853,uberon_0004535,uberon_0004493,uberon_0000948,uberon_0001987,uberon_0000088,uberon_0002084,uberon_0001630,uberon_0002349
mgi:5702325	aca71	not_found	uberon_0000965,uberon_0002104,uberon_0000019,uberon_0001801
mgi:3819962	m1665asr	not_found	uberon_0001474,uberon_0000468,uberon_0001434
mgi:2441982	aldh5a1	ensmusg00000035936	uberon_0000383,uberon_0000468,uberon_0001016,uberon_0001630,uberon_0001008
mgi:2148800	aipl1	ensmusg00000040554	uberon_0003902,uberon_0000019,uberon_0003951,uberon_0000012,uberon_0001802,uberon_0000966,uberon_0001790,uberon_0001787,uberon_0001789,uberon_0002104,uberon_0001016
mgi:2148802	sec16b	ensmusg00000026589	uberon_0000468
mgi:3617840	cpa2	ensmusg00000071553	uberon_0000474,uberon_0000468
mgi:4437570	tg(myh6*/teto-capn1)l2gwd	not_found	uberon_0000383,uberon_0004535,uberon_0002084,uberon_0001630,uberon_0000948
mgi:4437571	tg(myh6*/teto-capn1)l3gwd	not_found	uberon_0000383,uberon_0002405,uberon_0002349,uberon_0004535,uberon_0004493,uberon_0000948,uberon_0002084,uberon_0001630
mgi:2387801	snx17	ensmusg00000029146	uberon_0005989,uberon_0000019,uberon_0002012,uberon_0006207,uberon_0004535,uberon_0000948,uberon_0000947,uberon_0002104,uberon_0004666
mgi:2143311	bbs4	ensmusg00000025235	uberon_0000474,uberon_0001954,uberon_0002499,uberon_0003975,uberon_0004716,uberon_0001871,uberon_0002390,uberon_0005944,uberon_0001997,uberon_0004810,uberon_0000966,uberon_0002295,uberon_0001225,uberon_0001347,uberon_0001869,uberon_0010243,uberon_0002421,uberon_0002423,uberon_0001456,uberon_0000349,uberon_0003951,uberon_0001690,uberon_0002227,uberon_0001049,uberon_0000079,uberon_0002285,uberon_0002286,uberon_0001044,uberon_0001285,uberon_0007811,uberon_0001846,uberon_0001844,uberon_0001849,uberon_0003128,uberon_0000996,uberon_0001231,uberon_0002113,uberon_0007808,uberon_0003501,uberon_0006937,uberon_0000033,uberon_0001890,uberon_0000922,uberon_0001893,uberon_0001894,uberon_0003902,uberon_0003457,uberon_0001782,uberon_0000004,uberon_0001785,uberon_0001787,uberon_0001434,uberon_0010011,uberon_0002405,uberon_0004535,uberon_0000956,uberon_0000955,uberon_0000019,uberon_0000012,uberon_0002107,uberon_0002105,uberon_0002104,uberon_0002416,uberon_0001007,uberon_0001004,uberon_0000941,uberon_0001008,uberon_0001802,uberon_0005725,uberon_0012449
