Uberon_id	P-value	Term name
uberon_0003081	0.252098131481	lateral_plate_mesoderm
uberon_0011944	0.253827838398	subintestinal_vein
uberon_0003062	0.256387287774	primitive_knot
uberon_0003097	0.256387287774	dorsal_fin
uberon_2000040	0.257026549247	median_fin_fold
uberon_2005034	0.262661438207	parachordal_vessel
uberon_0002087	0.280444315985	atrioventricular_canal
uberon_0003902	0.280662782512	retinal_neural_layer
uberon_0001792	0.288961454102	ganglionic_layer_of_retina
uberon_2000250	0.298087425726	opercle
uberon_0005305	0.30108521086	thyroid_follicle
uberon_2001517	0.30108521086	ceratobranchial_2_cartilage
uberon_2000692	0.30108521086	symplectic
uberon_2001137	0.318400787081	ventral_tooth_row
uberon_2005126	0.318400787081	intestinal_bulb_epithelium
uberon_0014764	0.318400787081	anatomical_line_along_groove
uberon_2005010	0.318400787081	mid_cerebral_vein
uberon_2000622	0.318400787081	barbel
uberon_0008913	0.318400787081	perichondral_bone
uberon_0001081	0.318400787081	endocardium_of_ventricle
uberon_0002025	0.318400787081	stratum_basale_of_epidermis
uberon_0009848	0.318400787081	zona_limitans_intrathalamica
uberon_0002222	0.318400787081	perichondrium
uberon_0001842	0.318400787081	posterior_semicircular_canal
uberon_0003509	0.318400787081	arterial_blood_vessel
uberon_0004865	0.318400787081	actinopterygian_parietal_bone
uberon_0004703	0.318400787081	dorsal_thalamus
uberon_0003051	0.318915907448	ear_vesicle
uberon_0001630	0.322557827079	muscle_organ
uberon_0001130	0.33603717476	vertebral_column
uberon_0003926	0.358579510983	photoreceptor_outer_segment_layer
uberon_0003050	0.370447847181	olfactory_placode
uberon_0001359	0.380711811135	cerebrospinal_fluid
uberon_0003930	0.380711811135	atrioventricular_canal_endocardium
uberon_2005409	0.380711811135	pars_superior_ear
uberon_0001283	0.380711811135	bile_canaliculus
uberon_0006856	0.380711811135	interrenal_gland
uberon_0005410	0.380711811135	cartilaginous_otic_capsule
uberon_0003439	0.380711811135	nerve_of_trunk_region
uberon_2001850	0.380711811135	ceratohyal-branchiostegal_ray_joint
uberon_0009881	0.380711811135	anterior_lateral_plate_mesoderm
uberon_0003496	0.380711811135	head_blood_vessel
uberon_0000930	0.380711811135	stomodeum
uberon_0003085	0.380711811135	ventral_aorta
uberon_2000364	0.380711811135	hypural
uberon_0001843	0.380711811135	lateral_semicircular_canal
uberon_2000006	0.38139712898	ball
uberon_0005945	0.38942742498	neurocranial_trabecula
uberon_0002309	0.390074522158	medial_longitudinal_fasciculus
uberon_0001074	0.390074522158	pericardial_cavity
uberon_0005805	0.406480464585	dorsal_aorta
uberon_0001015	0.409924011871	musculature
uberon_0002465	0.409924011871	lymphoid_system
uberon_0002457	0.409924011871	intersomitic_artery
uberon_0006284	0.409924011871	early_prosencephalic_vesicle
uberon_0002065	0.428707393283	posterior_cardinal_vein
uberon_2001280	0.437336054103	branchiostegal_ray_3
uberon_0002827	0.437336054103	vestibulocochlear_ganglion
uberon_0003923	0.437336054103	dorsal_pancreatic_bud
uberon_0000004	0.437336054103	nose
uberon_2000488	0.437336054103	ceratobranchial_bone
uberon_0007390	0.437336054103	pectoral_appendage_cartilage_tissue
uberon_2000089	0.437336054103	actinotrichium
uberon_0010313	0.437336054103	neural_crest-derived_structure
uberon_0001841	0.437336054103	anterior_semicircular_canal
uberon_2001522	0.437336054103	hypobranchial_cartilage
uberon_0002481	0.437336054103	bone_tissue
uberon_0001155	0.437336054103	colon
uberon_0000044	0.46178629938	dorsal_root_ganglion
uberon_0005387	0.488791638481	olfactory_glomerulus
uberon_0001647	0.488791638481	facial_nerve
uberon_0005425	0.488791638481	presumptive_neural_retina
uberon_0011618	0.488791638481	basihyal_bone
uberon_0003056	0.488791638481	pre-chordal_neural_plate
uberon_0000982	0.488791638481	skeletal_joint
uberon_2005317	0.488791638481	pectoral_fin_fold
uberon_2001269	0.488791638481	regenerating_fin/limb
uberon_2001520	0.488791638481	ceratobranchial_1_cartilage
uberon_0002412	0.494024313594	vertebra
uberon_0001791	0.508168356347	inner_nuclear_layer_of_retina
uberon_2001089	0.508168356347	myoseptum
uberon_0000475	0.50994373093	organism_subdivision
uberon_0008998	0.50994373093	vasculature_of_brain
uberon_0002133	0.50994373093	atrioventricular_valve
uberon_0001277	0.513167412022	intestinal_epithelium
uberon_0001790	0.513167412022	outer_plexiform_layer_of_retina
uberon_0002291	0.513167412022	central_canal_of_spinal_cord
uberon_0000080	0.513167412022	mesonephros
uberon_0003060	0.518737871665	pronephric_duct
uberon_0001774	0.522293245443	skeletal_muscle_of_trunk
uberon_2000225	0.535549560706	lateral_crista_primordium
uberon_0003091	0.535549560706	thyroid_primordium
uberon_2000711	0.535549560706	del
uberon_0003894	0.535549560706	liver_primordium
uberon_0000936	0.535549560706	posterior_commissure
uberon_0004753	0.535549560706	scapulocoracoid
uberon_0008904	0.544518236229	neuromast
uberon_0002081	0.549170144148	cardiac_atrium
uberon_0003082	0.552899403047	myotome
uberon_0003079	0.575816055044	floor_plate
uberon_0011004	0.576897416207	pharyngeal_arch_cartilage
uberon_0002633	0.578037970217	motor_nucleus_of_trigeminal_nerve
uberon_0001759	0.578037970217	vagus_nerve
uberon_0003071	0.578037970217	eye_primordium
uberon_0001075	0.578037970217	bony_vertebral_centrum
uberon_0010202	0.578037970217	lateral_line
uberon_0005511	0.578037970217	rhombomere_4
uberon_0001714	0.578037970217	cranial_ganglion
uberon_0002200	0.5817944413	vasculature_of_head
uberon_0001789	0.585524417955	outer_nuclear_layer_of_retina
uberon_0010323	0.602736171236	cranial_skeletal_system
uberon_0003077	0.613919095192	paraxial_mesoderm
uberon_0004879	0.613919095192	marginal_zone_of_embryo
uberon_0007307	0.613919095192	pronephric_glomerular_basement_membrane
uberon_3000977	0.613919095192	body_external_integument_structure
uberon_4000172	0.613919095192	lepidotrichium
uberon_0005362	0.613919095192	vagus_x_ganglion
uberon_2001521	0.613919095192	ceratobranchial_5_cartilage
uberon_0000959	0.613919095192	optic_chiasma
uberon_0002049	0.61410297452	vasculature
uberon_0004058	0.61410297452	biliary_ductule
uberon_0001007	0.61410297452	digestive_system
uberon_2000530	0.61410297452	lapillus
uberon_2000318	0.617481020801	brainstem_and_spinal_white_matter
uberon_0001645	0.617481020801	trigeminal_nerve
uberon_0018549	0.617481020801	ventral_wall_of_dorsal_aorta
uberon_0000964	0.617481020801	cornea
uberon_0003084	0.617481020801	heart_primordium
uberon_0001894	0.621277115169	diencephalon
uberon_0010312	0.62346906676	immature_eye
uberon_2000058	0.62346906676	polster
uberon_0002050	0.62346906676	embryonic_structure
uberon_0000152	0.62346906676	pelvic_fin
uberon_0001083	0.62346906676	myocardium_of_ventricle
uberon_0011150	0.62346906676	pharyngeal_arch_derived_gill
uberon_0002538	0.631562796039	hatching_gland
uberon_0004363	0.631562796039	pharyngeal_arch_artery
uberon_0002397	0.641328061753	maxilla
uberon_0011606	0.641328061753	hyomandibular_bone
uberon_0007135	0.641328061753	neural_keel
uberon_2000476	0.641328061753	branchiostegal_ray
uberon_0003098	0.641328061753	optic_stalk
uberon_0000178	0.646570029093	blood
uberon_2001239	0.652392303358	ceratobranchial_5_bone
uberon_0003922	0.652392303358	pancreatic_epithelial_bud
uberon_0000941	0.676440519902	cranial_nerve_ii
uberon_0002241	0.677190651529	chondrocranium
uberon_0004740	0.677190651529	basibranchial_bone
uberon_0005419	0.690423397205	pectoral_appendage_bud
uberon_0004741	0.703941177668	cleithrum
uberon_0002349	0.715568636952	myocardium
uberon_0000926	0.715568636952	mesoderm
uberon_0000992	0.715704357441	ovary
uberon_0007679	0.715704357441	intersomitic_vein
uberon_0002370	0.717074990696	thymus
uberon_0004537	0.717074990696	blood_vasculature
uberon_0003901	0.723028599801	horizontal_septum
uberon_0003107	0.72728984032	meckel's_cartilage
uberon_2000033	0.727373990118	intermediate_cell_mass_of_mesoderm
uberon_0007215	0.738245668678	trabecula_cranii
uberon_0003066	0.738245668678	pharyngeal_arch_2
uberon_0003278	0.74442291092	skeleton_of_lower_jaw
uberon_0001795	0.744567589813	inner_plexiform_layer_of_retina
uberon_0000935	0.751355042943	anterior_commissure
uberon_0011085	0.758522695411	palatoquadrate_arch
uberon_0000479	0.758522695411	tissue
uberon_0004362	0.758522695411	pharyngeal_arch_1
uberon_0000016	0.765241021619	endocrine_pancreas
uberon_0002201	0.777987036279	vasculature_of_trunk
uberon_0001703	0.777987036279	neurocranium
uberon_0008895	0.803730912995	splanchnocranium
uberon_0001840	0.803730912995	semicircular_canal
uberon_0011607	0.824225870152	hyomandibular_cartilage
uberon_0001049	0.832362378724	neural_tube
uberon_0008896	0.842653752357	post-hyoid_pharyngeal_arch
uberon_2005025	0.85317092945	dorsal_longitudinal_anastomotic_vessel
uberon_0004752	0.867167942135	palatoquadrate_cartilage
uberon_0011610	0.905027834303	ceratohyal_cartilage
uberon_0002308	1.0	nucleus_of_brain
uberon_2000627	1.0	posterior_ceratohyal
uberon_0002302	1.0	myocardium_of_atrium
uberon_0009120	1.0	gill_filament
uberon_2000555	1.0	opercular_flap
uberon_0001178	1.0	visceral_peritoneum
uberon_0009124	1.0	geniculate_placode
uberon_0009125	1.0	petrosal_placode
uberon_2000558	1.0	posterior_macula
uberon_0002090	1.0	postcranial_axial_skeleton
uberon_0014903	1.0	primordial_vasculature
uberon_2001518	1.0	ceratobranchial_3_cartilage
uberon_0001976	1.0	epithelium_of_esophagus
uberon_0009622	1.0	pronephric_proximal_straight_tubule
uberon_0001021	1.0	nerve
uberon_0012463	1.0	cloacal_lumen
uberon_0000074	1.0	renal_glomerulus
uberon_0006877	1.0	vasculature_of_liver
uberon_0002394	1.0	bile_duct
uberon_0002390	1.0	hematopoietic_system
uberon_0016554	1.0	white_matter_of_midbrain
uberon_0011215	1.0	central_nervous_system_cell_part_cluster
uberon_0007297	1.0	presumptive_pronephric_mesoderm
uberon_0008894	1.0	pharyngeal_gill_precursor
uberon_0009621	1.0	tail_somite
uberon_2005222	1.0	ventral_larval_melanophore_stripe
uberon_2000358	1.0	granular_layer_corpus_cerebelli
uberon_2001188	1.0	weberian_apparatus
uberon_0004253	1.0	skin_muscle
uberon_2000913	1.0	molecular_layer_valvula_cerebelli
uberon_0009122	1.0	adenohypophyseal_placode
uberon_2005021	1.0	cerebellar_central_artery
uberon_2005020	1.0	central_artery
uberon_2001813	1.0	preopercular_sensory_canal
uberon_0001904	1.0	habenula
uberon_0001902	1.0	epithelium_of_small_intestine
uberon_0001579	1.0	olfactory_nerve
uberon_2001516	1.0	ceratobranchial_cartilage
uberon_0001908	1.0	optic_tract
uberon_0001909	1.0	habenular_commissure
uberon_0007276	1.0	crista_of_ampulla_of_lateral_semicircular_duct_of_membranous_laybrinth
uberon_0007274	1.0	crista_of_ampulla_of_anterior_semicircular_duct_of_membranous_laybrinth
uberon_0007275	1.0	crista_of_ampulla_of_posterior_semicircular_duct_of_membranous_laybrinth
uberon_0007271	1.0	appendage_musculature
uberon_0001727	1.0	taste_bud
uberon_0018674	1.0	heart_vasculature
uberon_2007024	1.0	anterior_neural_keel
uberon_2007026	1.0	forebrain_neural_keel
uberon_2007023	1.0	posterior_neural_keel
uberon_0002212	1.0	macula_of_saccule_of_membranous_labyrinth
uberon_2001357	1.0	alar_plate_midbrain
uberon_2007029	1.0	hindbrain_neural_keel
uberon_2005295	1.0	axial_blood_vessel
uberon_2002244	1.0	supraoptic_tract
uberon_2001922	1.0	inter-frontal_joint
uberon_0009910	1.0	posterior_lateral_plate_mesoderm
uberon_0002285	1.0	telencephalic_ventricle
uberon_0002286	1.0	third_ventricle
uberon_0002287	1.0	optic_recess_of_third_ventricle
uberon_0007383	1.0	enveloping_layer_of_ectoderm
uberon_4000173	1.0	pelvic_fin_lepidotrichium
uberon_0005377	1.0	olfactory_bulb_glomerular_layer
uberon_2000074	1.0	somite_26
uberon_2000073	1.0	somite_5
uberon_2000072	1.0	somite_1
uberon_2000175	1.0	posterior_lateral_line_nerve
uberon_0019258	1.0	white_matter_of_hindbrain
uberon_0010170	1.0	region_of_neural_crest
uberon_0002342	1.0	neural_crest
uberon_0002346	1.0	neurectoderm
uberon_0002348	1.0	epicardium
uberon_0007124	1.0	pharyngeal_pouch_3
uberon_0007125	1.0	pharyngeal_pouch_4
uberon_0007122	1.0	pharyngeal_pouch_1
uberon_0007123	1.0	pharyngeal_pouch_2
uberon_0007653	1.0	capillary_loop_nephron
uberon_0002198	1.0	neurohypophysis
uberon_2001076	1.0	intestinal_bulb
uberon_2002145	1.0	anterior_swim_bladder_bud
uberon_0002196	1.0	adenohypophysis
uberon_0001648	1.0	vestibulocochlear_nerve
uberon_0003931	1.0	diencephalic_white_matter
uberon_0003932	1.0	cartilage_element_of_chondrocranium
uberon_2001588	1.0	pectoral_fin_distal_radial_bone
uberon_0003934	1.0	mesenchyme_pectoral_fin
uberon_0006876	1.0	vasculature_of_organ
uberon_2001586	1.0	pectoral_fin_radial_bone
uberon_0005777	1.0	glomerular_basement_membrane
uberon_0002518	1.0	otolith_organ
uberon_0002042	1.0	lymphatic_vessel_endothelium
uberon_0002513	1.0	endochondral_bone
uberon_0001898	1.0	hypothalamus
uberon_0001899	1.0	epithalamus
uberon_0001892	1.0	rhombomere
uberon_0001893	1.0	telencephalon
uberon_0000481	1.0	multi-tissue_structure
uberon_0000482	1.0	basal_lamina_of_epithelium
uberon_0001897	1.0	dorsal_plus_ventral_thalamus
uberon_2000465	1.0	adductor_operculi
uberon_0007831	1.0	pectoral_girdle_skeleton
uberon_2000462	1.0	abductor_hyohyoid
uberon_2000508	1.0	pelvic_fin_radial_bone
uberon_2000468	1.0	anterior_crista_primordium
uberon_2000660	1.0	epural
uberon_0001943	1.0	midbrain_tegmentum
uberon_0003925	1.0	photoreceptor_inner_segment_layer
uberon_0014892	1.0	skeletal_muscle_organ
uberon_0001944	1.0	pretectal_region
uberon_0005507	1.0	rhombomere_3
uberon_0001535	1.0	vertebral_artery
uberon_0000007	1.0	pituitary_gland
uberon_0006334	1.0	posterior_lateral_line
uberon_0006847	1.0	cerebellar_commissure
uberon_0011778	1.0	motor_nucleus_of_vagal_nerve
uberon_0001434	1.0	skeletal_system
uberon_0001092	1.0	vertebral_bone_1
uberon_0001093	1.0	vertebral_bone_2
uberon_0001095	1.0	caudal_vertebra
uberon_0001644	1.0	trochlear_nerve
uberon_0001769	1.0	iris
uberon_0001643	1.0	oculomotor_nerve
uberon_2001313	1.0	ventral_anterior_lateral_line_ganglion
uberon_2001314	1.0	posterior_lateral_line_ganglion
uberon_2001316	1.0	anterior_lateral_line_placode
uberon_0001797	1.0	vitreous_humor
uberon_0001796	1.0	aqueous_humor_of_eyeball
uberon_0001794	1.0	inner_limiting_layer_of_retina
uberon_0003566	1.0	head_connective_tissue
uberon_2001256	1.0	lateral_floor_plate
uberon_2001257	1.0	medial_floor_plate
uberon_2005017	1.0	primordial_midbrain_channel
uberon_0004731	1.0	neuromere
uberon_0009955	1.0	neurogenic_placode
uberon_2000228	1.0	lateral_line_primordium
uberon_0003115	1.0	pharyngeal_arch_4
uberon_0003114	1.0	pharyngeal_arch_3
uberon_2000983	1.0	somite_9
uberon_2000982	1.0	somite_6
uberon_2000981	1.0	somite_29
uberon_2000980	1.0	somite_25
uberon_2001841	1.0	interhyal-epihyal_joint
uberon_0001997	1.0	olfactory_epithelium
uberon_0002244	1.0	premaxilla
uberon_0004750	1.0	blastoderm
uberon_0003704	1.0	intrahepatic_bile_duct
uberon_0003846	1.0	thymus_epithelium
uberon_0000946	1.0	cardial_valve
uberon_0001008	1.0	renal_system
uberon_2000356	1.0	gill_raker
uberon_2000136	1.0	otic_lateral_line_neuromast
uberon_2001406	1.0	kinethmoid_bone
uberon_0004126	1.0	trabecular_layer_of_ventricle
uberon_0004124	1.0	myocardium_trabecular_layer
uberon_2002215	1.0	otic_vesicle_protrusion
uberon_2001304	1.0	vagal_ganglion_3
uberon_0004128	1.0	optic_vesicle
uberon_0007690	1.0	early_pharyngeal_endoderm
uberon_0006065	1.0	hemal_arch
uberon_0002541	1.0	germ_ring
uberon_0002540	1.0	lateral_line_system
uberon_0003011	1.0	facial_motor_nucleus
uberon_0011362	1.0	cranial_blood_vasculature
uberon_2000727	1.0	somite_17
uberon_2000726	1.0	somite_14
uberon_2000725	1.0	somite_11
uberon_0005723	1.0	floor_plate_spinal_cord_region
uberon_0003112	1.0	olfactory_region
uberon_2000728	1.0	somite_2
uberon_0003069	1.0	otic_placode
uberon_0003068	1.0	axial_mesoderm
uberon_0002064	1.0	common_cardinal_vein
uberon_0002165	1.0	endocardium
uberon_0019267	1.0	gray_matter_of_midbrain
