protein1 protein2 combined_score
aurkb mybl2b 0.490559662937
bmp7a fgf8a 0.57444312211
jun stat3 0.499864903751
aldh7a1 top2b 0.543619230434
appb mapk9 0.5232136692
unm_m360 unm_m565 0.411764705882
gnb2l1 hspa8 0.51819087206
gnb2l1 hspa9 0.374563300967
gnb2l1 hspa5 0.368690449155
acta1b pikfyve 0.396470588235
gnat2 zgc:171516 0.344705882353
erbb2 rap1b 0.491117338969
jak2a jupa 0.38274308359
gart mybl2b 0.736230571544
map3k2 ralbb 0.383529411765
nifk wdr12 0.874050012452
flt1 ppm1k 0.520272829665
flt1 ppm1g 0.377488102025
flt1 ppm1f 0.42640676608
flt1 ppm1e 0.467999129336
melk zgc:162985 0.358235294118
unm_m361 unm_m658 0.411764705882
egf si:ch73-362f1.1 0.374117647059
lrit3 mapk15 0.406470588235
lrit3 mapk13 0.406470588235
lrit3 mapk11 0.406470588235
ankrd52b dhx8 0.379411764706
rpl11 rps3 0.862593562633
erbb2 prkcbb 0.421475713942
kita pnpla7b 0.335294117647
kita pnpla7a 0.335294117647
impdh2 pnpla7a 0.351176470588
gna13b rhobtb2b 0.344705882353
grb2b ptena 0.343529411765
mtor pnpla6 0.379751882031
dkc1 yars 0.467058823529
myo5b rhoae 0.414117647059
dhx8 met 0.376238822156
7955.ensdarp00000062369 cad 0.387058823529
dhx8 rpl5a 0.563401845797
fen1 rps11 0.408832698697
mapk15 rhoua 0.351176470588
cct7 ywhag1 0.332966736862
pkn2 rhoua 0.596003842487
fynb ppm1da 0.348823529412
fynb ppm1db 0.348823529412
akt2 rhoad 0.409411764706
gsk3b mapk14a 0.377639751289
dkc1 paics 0.426492313234
lmx1bb nkx2.2a 0.406624669666
gdnfa pik3ca 0.332352941176
actl6a polr2gl 0.45605440135
ctnnb1 insra 0.592271802862
ctnnb1 insrb 0.496211408589
fgf10a ihha 0.49300487072
mcm7 rps5 0.342900433586
gdf11 vdrb 0.348621513147
gdf11 vdra 0.369090964634
mapk11 mapk8b 0.552941176471
prkacb smo 0.500588235294
cdc42 ilk 0.653360075563
mcm7 sirt1 0.410990216406
ankrd52b pkn2 0.378235294118
notch2 zap70 0.425989734362
crk syk 0.527511120345
nhp2l1a zgc:112305 0.553529411765
gna13a hrasb 0.388823529412
polr3b uckl1a 0.371764705882
ctnnb1 paics 0.556849881456
lrit3 prkar1aa 0.392352941176
paics rpl23a 0.457399867353
mapk6 ptena 0.365294117647
mapk6 ptenb 0.370588235294
atr fgfr2 0.368386839441
cct7 slc8a4a 0.348571118313
unm_m360 unm_t31148 0.373596797154
ctnnb2 mapk3 0.368041562024
ctnnb2 mapk9 0.57493249457
ptenb ralbb 0.491236676724
brd2b ruvbl1 0.382847805573
rem2 yes1 0.386169653358
fgf10a pax9 0.444775453719
myb shank3b 0.333943044045
phox2bb sema3c 0.411764705882
chd tcf7l1a 0.48551423906
kdr ppm1ba 0.348823529412
mcm3 notch1b 0.331720549432
gnai2l ralbb 0.387058823529
acta2 rac3a 0.444705882353
ccnb1 tubg1 0.533405693393
gli1 smad3a 0.333570019549
hsp90aa1.1 pak2a 0.464453673956
polr1a polr1c 0.846212772238
cad polr2b 0.634717433529
cad polr2f 0.442941176471
kif7 rrm1 0.375617965566
ilk tcf7 0.342717213742
actc1b cct7 0.358241349564
actc1b cct5 0.365754334749
actc1b cct2 0.368733098594
hsp70l vegfaa 0.33809502945
frk ppm1bb 0.368823529412
frk ppm1ba 0.348823529412
cdh23 ctnnd2b 0.470945612374
jak3 pnpla6 0.477397358508
akt2 insrb 0.451202469214
akt2 insra 0.51157613076
hand2 smarca4a 0.433673139968
mapk8b wnt3a 0.502974694555
actn2b frk 0.392287753337
gnb1a rac3a 0.39
gart hsp70l 0.534218736939
barx1 hand2 0.495165201856
ccna2 jun 0.378435897949
bmp2b disp1 0.330117485016
bmp4 lhx2b 0.364642132575
akt3a ctnnb1 0.381176470588
cx43 jun 0.485788984503
kras tcp1 0.344362602462
aldh1a2 bmp4 0.422989423389
akt2 si:ch73-362f1.1 0.381176470588
dicer1 nifk 0.406457417513
si:dkey-264o13.1 tgfb3 0.343529411765
ak9 eftud2 0.345968631265
brd2a crkl 0.411764705882
actb2 stn 0.417058823529
atr rras 0.340715799058
lrguk ppm1da 0.382941176471
gdnfa shank3b 0.367006502886
mrps6 myhz2 0.411764705882
rac1a ralbb 0.47886955012
hdac3 nfkb2 0.434419905081
polr2d ruvbl1 0.388315365954
kcnh8 zmp:0000000932 0.421764705882
mtor zgc:110250 0.448235294118
crkl flt1 0.429708481143
polr2f zgc:171795 0.587647058824
btk fgfr1a 0.333813123155
hspa5 insrb 0.350132498498
nfkb2 zap70 0.442805237992
akt2 gsk3b 0.644062675011
nifk prp19 0.411764705882
grem2b msx1a 0.388825711086
gnat2 paics 0.603529380183
cad kdrl 0.598963933331
acvrl1 ephb4a 0.412864798845
cct2 fgfr1a 0.335292859922
pax6b smarca5 0.351592235648
insrb ppm1k 0.484247041842
mapk14a rb1 0.395273103977
gli2a tp53 0.438456015281
foxa2 insra 0.470430154807
melk sdc2 0.347775814239
bud31 cdk1 0.334990141239
mapk4 ppm1db 0.405882352941
mapk4 ppm1da 0.405882352941
snu13b stn 0.392249217144
brd2a sirt1 0.357182503027
hsp90aa1.1 kita 0.487839474067
ihha msx1a 0.340291047301
kita shank3b 0.451685128843
rpl12 si:ch73-266o15.4 0.56
brd2b smarca2 0.332941176471
gli1 nkx2.2a 0.549765382438
pkp2 rap1b 0.359031390712
gsk3b smad9 0.371614751565
gsk3b smad1 0.566712703168
gsk3b smad7 0.44715620963
gnai2 rac1l 0.344705882353
gnai2 rac1a 0.371764705882
nos1 vegfaa 0.407291522546
prkcbb ralbb 0.534540185743
atr pola1 0.588283413689
acta1b mapk13 0.36
acta1b mapk11 0.358235294118
acta1b mapk15 0.352941176471
gnat1 rac2 0.365294117647
gsk3b rps27a 0.551764705882
7955.ensdarp00000047205 zgc:171775 0.351176470588
foxo3b igf1rb 0.580907614653
foxo3b igf1ra 0.580907614653
mapk1 rhoae 0.455882352941
mapk1 rhoac 0.474117647059
cdk1 zgc:86709 0.360588235294
cct5 cstf3 0.424285080145
hspa8 jak3 0.355477918333
pi4kaa pola1 0.440527908789
bmpr1ab ppm1f 0.402890132405
hsp70l rpsa 0.397621180873
paics rps15 0.338522232311
paics rps14 0.49097668844
grb2b mapk13 0.439411764706
rac1b spna2 0.563350429575
rhoab vegfaa 0.736307526166
myo16 pnpla7b 0.348823529412
myo16 pnpla7a 0.348823529412
jak2a mapk9 0.430464626313
fynb hsp90aa1.1 0.342941176471
syk ywhag1 0.341224332893
myb osr2 0.337694560328
cad pwp2h 0.657273505654
mtor rpa1 0.494161207003
jak1 jupa 0.463982323728
flt1 pik3ca 0.555294117647
flt1 pik3cb 0.536470588235
polr2eb rpl7l1 0.418235294118
acta1b rac3b 0.367058823529
acta1b rac3a 0.367058823529
nifk rpl11 0.861074652154
nifk rpl10 0.550730635203
nifk rpl12 0.76706800296
nkx2.2a ret 0.348300178125
paics si:ch1073-55a19.2 0.351764705882
unm_m360 unm_t30601 0.411764705882
pcna polr2gl 0.532352941176
bmpr1ab impdh2 0.411764705882
hsp90aa1.1 rab11a 0.409801907484
aldh7a1 dhx8 0.409295719168
dicer1 wdr12 0.34241558905
cct2 dkc1 0.393056902156
frk mapk3 0.423254117464
gnai2l rhobtb2b 0.344705882353
junba stat1b 0.399544027289
nop58 smarca4a 0.344942676813
gli3 ihha 0.576496672028
gli3 ihhb 0.635542057458
cct5 wu:ft34d10 0.521176470588
gna12 rac3a 0.344705882353
gna12 rac3b 0.344705882353
notch3 ptenb 0.507627400159
notch3 ptena 0.495616779528
bmpr1aa bmpr1ab 0.568826975819
kras psmc6 0.346057165683
smad7 smarca4a 0.424100395412
eif4a1a snrpc 0.438760815723
met ppm1na 0.348823529412
met ppm1nb 0.348823529412
crkl sod2 0.411764705882
melk pdp2 0.362352941176
melk pdp1 0.348823529412
hsp90ab1 nos2a 0.388823529412
hsp90ab1 nos2b 0.369411764706
hspa9 kras 0.347186008979
polr2b rpl23a 0.593842079191
lmo7b usp28 0.347942389259
rps3 zgc:110388 0.585882352941
cpsf3 eftud2 0.739917501737
hsp70l tcp1 0.642288147473
egfra syk 0.440037955024
rac3a rhobtb2b 0.53
egf erbb2 0.696579544719
s1pr4 snapc1b 0.411764705882
nos1 stat1b 0.373272829406
kita mixl1 0.38212418036
gli3 hhip 0.545133967951
hsp90aa1.2 igf1rb 0.478259381637
hsp90aa1.2 igf1ra 0.508259381637
fgf10b shha 0.496516258142
prp19 si:ch1073-55a19.2 0.387647058824
gsk3b rarga 0.350232967933
kita rab11a 0.396108470139
foxa2 paics 0.333596317746
melk pptc7 0.348823529412
jak2a stat1b 0.98
map3k3 mapk12a 0.4
map3k3 mapk12b 0.401176470588
7955.ensdarp00000088460 melk 0.353529411765
furina pold1 0.565445908466
dkc1 rpsa 0.414474721908
dkc1 rps3 0.44638327324
dkc1 rps5 0.417705532978
shank3b smarca4a 0.417592530284
gart stat1b 0.384015506119
acvr2b fgfr4 0.371797397711
acvr2b fgfr2 0.351374233983
mapk14b zgc:110250 0.459411764706
acta2 tnnc1a 0.561121789812
gsk3b tcf7 0.70837578251
polr3b prpf31 0.465108621512
brd4 tnnt2d 0.411764705882
acvr2b rgma 0.358782916928
acvr2b rgmb 0.374077034575
acvr2b rgmd 0.344077034575
acta1b ctnnb1 0.372750270782
gna13a lrit3 0.392352941176
fgf10b pik3ca 0.542352941176
mapk1 ppm1la 0.405882352941
cct5 gnb2l1 0.537371353263
actc1b zfand4 0.378823529412
fgfr1a rap1aa 0.341237868181
hspa5 rab11a 0.350704800148
pax6a shhb 0.370073181659
pax6a shha 0.516642878115
hsp90aa1.1 myo5b 0.453842678274
rrm1 snrpc 0.570975844178
pdgfrb ppm1g 0.362957727043
pdgfrb ppm1f 0.44974730359
fgf8a wnt11r 0.404697175012
col11a2 pax9 0.386528351837
fbl snrpd1 0.67638062149
gli2a pnpla6 0.387355930866
mapk3 musk 0.477877253697
fgfr2 lrit3 0.333529411765
rap1b rhobtb1 0.397058823529
fgf4 ret 0.459339125913
fras1 prkcbb 0.359382949289
rps18 si:ch73-266o15.4 0.584117647059
acta1a si:dkey-263f15.2 0.367058823529
ncbp2 polr2c 0.54
acta1b pkn2 0.428662212135
gart rras 0.389162754647
brd2b brd3a 0.411764705882
mapk13 rac1a 0.571764705882
mapk13 rac1b 0.43
mapk13 rac1l 0.562941176471
bmp1a si:rp71-56k2.1 0.535294117647
kita notch2 0.426478626127
eif4a1a syk 0.434622759332
igf1rb spna2 0.348947868838
ccna2 ephb4a 0.409996665542
dkc1 smc4 0.361521000454
rpl7 snu13b 0.599085117077
hsp90aa1.2 impdh1b 0.684705882353
junba mapk7 0.332941176471
ppm1f prkcg 0.428772485347
hspa9 mybl2b 0.37693684989
pwp2h wdr12 0.816965665664
foxo3b ywhag1 0.679950037385
csf1ra nos1 0.398169857506
f1rbx7_danre kdr 0.348823529412
cdk5 ptch1 0.499552015208
cdk5 ptch2 0.501109867334
akt3 si:ch73-362f1.1 0.387058823529
ppm1g zap70 0.43275791447
mapk12a rhobtb2b 0.351176470588
prkcg rras 0.546465924465
ccnd1 ralbb 0.350720868075
hspg2 sdc2 0.753699986932
gnai1 rras 0.407058823529
cpsf3 snrpa 0.535294117647
cpsf3 snrpc 0.87505827992
pitx1 si:ch73-362f1.1 0.344705882353
mapk15 zgc:86725 0.352941176471
frk musk 0.504312695043
jupa pdgfrb 0.398552472977
dhx8 prkcbb 0.343547221014
ccnb1 pak2a 0.493196202908
atr eif4a1a 0.373538853757
igf1rb mapk1 0.497437436902
hspa9 si:ch73-97e20.2 0.367058823529
gna13b prkca 0.413215236259
kras rab11a 0.335886825003
prkacaa prkacb 0.471176470588
mapk11 zgc:171516 0.467647058824
plk1 ruvbl1 0.472810802083
pdgfrb pik3cb 0.563529411765
pdgfrb pik3ca 0.570588235294
mapk7 rem2 0.421764705882
ccnb1 ccnd1 0.565025605037
polr2i prpf31 0.542941176471
rac3b rras 0.342352941176
f1rbx7_danre jak3 0.348823529412
f1rbx7_danre jak1 0.348823529412
igf1rb ppm1na 0.348823529412
igf1rb ppm1nb 0.348823529412
fgfr2 tab1 0.348823529412
kdrl rab11a 0.497053474881
unm_b1006 unm_b1112 0.411764705882
fgfr1a rap1b 0.512267708217
actl6a polr1c 0.455169467767
actl6a polr1a 0.54885545758
7955.ensdarp00000062369 mapk12b 0.357647058824
7955.ensdarp00000062369 mapk12a 0.357647058824
rps15 zgc:110388 0.584705882353
acta1b wnt3a 0.452277054976
acvr2aa fgfr1a 0.375976669613
grb2b igf1rb 0.556470588235
akt2 spna2 0.367116957532
rps27a tgfbr1b 0.532352941176
mapk6 rhoj 0.351176470588
mapk6 rhoh 0.351176470588
mapk6 rhoq 0.363529411765
mapk6 rhov 0.351176470588
actn2b hspg2 0.332710332459
rhoj rhov 0.529411764706
rhoj rhoq 0.53
hdac1 ppm1g 0.36198281077
ccnb1 plk1 0.827247563135
f1rbx7_danre melk 0.348823529412
atr ehmt2 0.553954096637
polr1a smarca5 0.63405736144
polr1a smarca2 0.552941176471
bmpr1bb ctnnb2 0.419758599701
bmpr1bb ctnnb1 0.449737595723
mapk7 zgc:86725 0.352941176471
fyna gsk3b 0.540588235294
ak2 impdh1a 0.363969455083
ak2 impdh1b 0.364178870654
ctnnb1 dhh 0.351764705882
cct7 rps14 0.452048287713
cct7 rps11 0.439997818118
cct7 rps12 0.482316964871
bmp2a tbx4 0.455244580698
ptena rab11a 0.481420002185
fosl2 shank3b 0.376808103569
actc1a hspa9 0.550485663796
actc1a hspa5 0.410098408223
pcna polr2i 0.55
pcna polr2j 0.538823529412
pcna polr2c 0.546470588235
pcna polr2f 0.540588235294
bmpr1ab nog3 0.377881690003
actb1 mtor 0.383529411765
cct5 ube2ib 0.389579459462
casp3a ccnd1 0.338391875234
bmp4 mapk8b 0.413010854657
notch3 pnpla6 0.357901044181
ncbp2 snrpc 0.964906534664
ncbp2 snrpa 0.572352941176
actl6a melk 0.349406299545
lmo7b rhoab 0.494380051405
ccna2 h9gxw8_danre 0.335294117647
rb1 top2b 0.439598721552
fsta rgmb 0.387609243896
fsta rgma 0.387609243896
fsta rgmd 0.380550420366
ctnnb2 impdh2 0.451118305388
dicer1 tcp1 0.451407192464
mapk1 ppm1aa 0.340588235294
rhoac yes1 0.383529411765
foxo3b jak1 0.424429610315
cad polr1a 0.807072486363
cad polr1b 0.478235294118
cad polr1c 0.77093654642
akt2 cdk1 0.506544899118
akt2 cdk5 0.398478035598
ctnnd1 frk 0.504383005243
hsp90aa1.1 zfand4 0.332352941176
sdc2 slc8a1a 0.333651663241
melk ppm1lb 0.358235294118
melk ppm1la 0.358235294118
7955.ensdarp00000047205 7955.ensdarp00000062369 0.444705882353
mapk11 myo16 0.374117647059
jak1 ppm1na 0.348823529412
gata4 wnt11r 0.415345887101
rps27a shha 0.534117647059
rps27a shhb 0.534117647059
aclya si:ch211-163m16.1 0.384705882353
gnai1 kras 0.561176470588
fgfr2 tp53 0.436412356997
mapk13 si:ch211-272n13.7 0.375882352941
jak3 si:dkey-110j1.3 0.337058823529
paics smc4 0.427269975282
ilk stat3 0.436346912099
jak1 prkar1aa 0.334119415672
jupa shank3b 0.357454551547
actr1 ttn.1 0.422941176471
rpl10 zgc:110388 0.585294117647
rb1 shank3b 0.350553760045
fgf10a zgc:110250 0.539411764706
fgf4 msx1a 0.517101347993
gart notch3 0.474077354872
gart notch2 0.472864215259
rpl5a tp53 0.438948744916
bmp7a gata3 0.523992339025
bmp7a gata5 0.431415104963
bmp7a gata4 0.58618512273
bmp7a gata6 0.394213991808
ephb4a furina 0.393572702472
erbb2 pkp2 0.471346847613
ephb4a kdr 0.385478109255
junba mapk15 0.332941176471
junba mapk11 0.332941176471
ephb4a smo 0.35303922933
7955.ensdarp00000062369 rhogb 0.398823529412
si:dkey-4p15.3 zgc:112305 0.531764705882
loxl1 mapk9 0.358325843815
brd3a nos1 0.380331652935
aldh7a1 gart 0.499056676191
gnai1 paics 0.343529411765
psmc6 smarca5 0.496814608374
kcnk5b kif6 0.436239686378
hsp90aa1.1 smad7 0.391817956544
actc1a jak1 0.395059333318
melk rhoab 0.351626592904
kdrl notch1b 0.736159621887
gna13a ralbb 0.387058823529
polr2gl prp19 0.534117647059
polr2f supt5h 0.578823529412
rps18 stn 0.498026222441
ccna2 ehmt2 0.48395165611
ehmt1b myb 0.4
pik3cb smarca4a 0.455294117647
bmp2b hfe2 0.569863175567
actb1 mapk13 0.357647058824
actb1 mapk11 0.357647058824
actb1 mapk15 0.352941176471
gnat1 ralbb 0.387058823529
fgf10b flt4 0.480404533346
fgf10b flt1 0.563680811411
bmpr1aa ptenb 0.334591807543
prkcbb zap70 0.343660692638
acaca jak2a 0.509411764706
aldh1l1 gli1 0.345556410993
pnpla7a syk 0.335294117647
akt2 src 0.431837155425
actc1b atr 0.376380579852
jak1 ttn.1 0.331687035841
pafah1b1b ralbb 0.33069344413
ccna2 smc4 0.826464009834
cdk2 rac2 0.407058823529
hsp70l lrguk 0.384117647059
foxa2 smad3a 0.426021721007
foxa2 smad3b 0.428256356611
