protein1 protein2 combined_score
eftud2 impdh1a 0.632695045724
eftud2 impdh1b 0.531066407556
rap1b si:ch211-272n13.7 0.331176470588
hsp70l pikfyve 0.501764705882
bpnt1 ylpm1 0.455882352941
melk ppm1e 0.522419820753
melk ppm1g 0.417314256958
melk ppm1k 0.450938329392
dicer1 rpa1 0.557046191417
lmx1bb stat3 0.36934547595
cacna1c pkn2 0.43001596938
mapk7 zgc:86709 0.357647058824
pdgfrb stat3 0.454213828609
psmb1 smc4 0.369611914609
cacna1c smarca5 0.334529057035
fgfr4 tnnc1a 0.345228642338
igf1ra mapk13 0.334117647059
jak1 wu:fb65b05 0.545294117647
hsp90aa1.2 rhobtb2b 0.377058823529
brd3a mapk14a 0.387441416261
mtor stat3 0.634623844343
akt3 rap1aa 0.366470588235
pi4kaa ruvbl1 0.468393293112
brd2b mrps6 0.411764705882
acacb dnajc3 0.371764705882
lrit3 pikfyve 0.332352941176
cct2 ywhag1 0.332948744142
fyna pdp1 0.355294117647
fyna pdp2 0.355882352941
akt3a gnai1 0.373529411765
ppp3ccb prkcg 0.361764705882
rpl3 zgc:110388 0.584705882353
ctnnb1 plk1 0.331746652938
mapk12b prkacab 0.338823529412
ehmt1a pcna 0.390588235294
acacb pnpla6 0.365294117647
cct2 eif4a1a 0.551902143003
mapk15 rras 0.421764705882
dnajc3 fgfr4 0.395294117647
mapk8b tp53 0.614423372533
cdk1 jak1 0.358228135227
cdk1 jak3 0.363522252874
cad polr3b 0.680375772944
hspa5 rps3 0.400867485015
wnt11r wnt3a 0.748030434953
mapk15 rap1aa 0.421764705882
acta1b ttn.1 0.738821721862
melk ppm1na 0.349411764706
melk ppm1nb 0.349411764706
acta1b crk 0.369905664357
frk si:dkey-110j1.3 0.337058823529
rab11a rap1b 0.360579411502
impdh2 pnpla7b 0.351176470588
prpf31 snrpd1 0.793818245919
jak1 ppm1la 0.348823529412
jak1 ppm1lb 0.348823529412
akt2 rhoae 0.405294117647
akt2 rhoab 0.54689452887
akt2 rhoac 0.406470588235
akt2 rhoaa 0.421176470588
fgfr4 rab11a 0.372245408912
gnai2 gnao1b 0.529411764706
gnai2 gnao1a 0.531176470588
kras rac2 0.433683030621
gnai2 s1pr4 0.553529411765
cnr2 stat1b 0.541764705882
h9gxw8_danre vdrb 0.341176470588
h9gxw8_danre vdra 0.336470588235
cstf3 mcm3 0.363352728566
ctnnb1 shha 0.465026972741
ctnnb1 shhb 0.380793505666
gnao1a mapk13 0.434705882353
grb2a zgc:110250 0.575882352941
gart wu:fi17d12 0.392941176471
gart pola1 0.476402625311
acvrl1 grem2b 0.40294017244
gli2b kif7 0.589826449257
nop58 rps11 0.812744116498
nop58 rps12 0.801293301279
nop58 rps15 0.513884282329
nop58 rps14 0.646227910826
nop58 rps18 0.333619734903
adora2b mpx 0.411764705882
casp3a rela 0.372326087201
tp53 ywhag1 0.425996956799
hsp90aa1.2 zgc:171516 0.538823529412
hsp90ab1 tgfbr2b 0.363338703296
akt2 ppm1f 0.388328912912
gli3 prkacba 0.547647058824
mapk1 rhoad 0.474705882353
mapk1 rhoab 0.642363319881
mapk1 rhoaa 0.482352941176
impdh1a wdr12 0.499498593031
smad9 vdrb 0.331107583051
smad9 vdra 0.344088160632
lrguk polr2b 0.367647058824
lrguk polr2f 0.533529411765
myhz2 nfkb2 0.531176470588
mapk14a prkcbb 0.55309954207
7955.ensdarp00000062369 myo16 0.452352941176
frk pnpla6 0.435451468792
acta1b loxa 0.464966091191
lrguk si:ch73-362f1.1 0.41
rps12 snu13b 0.635262992097
actn2b acvr1l 0.360400265324
mapk1 ppm1g 0.343080506193
mapk1 ppm1f 0.576219939576
mapk1 ppm1e 0.475103534901
mapk1 ppm1k 0.496414126891
impdh1a prkab1b 0.458823529412
ephb4a ppm1k 0.508063621009
ephb4a ppm1f 0.412526953923
ephb4a ppm1g 0.476625176709
ephb4a ppm1e 0.418162231604
kras sirt1 0.430943720064
edar plcb3 0.369302389532
met si:dkey-24p1.4 0.368823529412
junba mapk4 0.332941176471
junba mapk6 0.332941176471
junba mapk1 0.423196523853
junba mapk9 0.557113356772
notch3 smo 0.36404507966
actn2b pi4kaa 0.375474242031
hsp90aa1.2 ywhag1 0.608452664438
akt2 gli1 0.376953936779
akt2 gli3 0.363491754793
actc1a insrb 0.393016143494
mapk12a tp53 0.545294117647
gata3 hand2 0.381209039795
gfra1a grb2b 0.529411764706
gfra1a grb2a 0.529411764706
acaca ppp3ca 0.351764705882
gsk3b rhoab 0.49077637215
gsk3b rhoaa 0.334705882353
7955.ensdarp00000047205 map3k3 0.465294117647
7955.ensdarp00000047205 map3k2 0.465294117647
fgf8a notch1b 0.33907159658
ctnnb1 rab11a 0.408510624511
actn2b kdrl 0.344307275175
mtor pak2a 0.580669566287
pi4kaa rap1b 0.480118443939
unm_t30601 unm_t30926 0.411764705882
nmur1a pik3ca 0.541764705882
mapk6 rac2 0.351176470588
pcna rps27a 0.560588235294
akt2 pak2a 0.378341891551
lrguk top2b 0.385882352941
foxo3a ywhag1 0.672922000362
polr3b rpl12 0.61827731797
polr3b rpl11 0.696119055174
polr3b rpl10 0.510790846195
foxo3b prkcg 0.429134463612
foxo3b prkca 0.336590244627
mapk9 ralbb 0.584313190985
col11a1a col11a2 0.536470588235
actb1 rhov 0.374117647059
actb1 rhoq 0.367058823529
actb1 rhof 0.367058823529
actb1 rhoh 0.367058823529
ak2 rac2 0.411764705882
rpl12 top2b 0.435782684582
prkca rhogb 0.427058823529
smc4 supt5h 0.50583998497
fgf8a rps27a 0.530588235294
fgf10a rhoab 0.38640344126
mapk4 zgc:110250 0.422941176471
fgfr1a spna2 0.395665113409
cwc22 prp19 0.576470588235
plk1 ppm1g 0.367281947823
igf1ra rhoab 0.358715981186
cltca gsk3b 0.351572194703
rab11a zap70 0.463599861506
akt2 rarga 0.356944766581
polr2b usp28 0.423282014079
mapk1 pak2a 0.458517666709
akt3a gnai2 0.335294117647
jak2a yes1 0.560660117965
myb rab11a 0.341487840226
nfkb2 prkcbb 0.476884184196
rpsa zap70 0.491552635926
mapk7 rac3a 0.414117647059
mapk7 rac3b 0.414117647059
aldh8a1 wu:ft34d10 0.357058823529
rhoae rhov 0.529411764706
jak1 map2k5 0.37523207639
gnao1a prkacb 0.441176470588
gli2a smarca4a 0.564232544896
dvl2 mapk8b 0.436085999798
pdp2 ret 0.348823529412
bmp2b pax6b 0.513151295593
bmp2b pax6a 0.462318311425
gsk3b osr2 0.541519975555
gnai3 prkacab 0.415294117647
gnai3 prkacaa 0.415294117647
pak2a yes1 0.343657167253
fgfr1a tbx4 0.360031536183
cdc42 rem2 0.466031362799
cad pola1 0.641091871735
hdac1 myb 0.431591927771
cdc42 si:ch211-163m16.1 0.447647058824
actb2 smarca4a 0.503529411765
eif4a1a hsp90aa1.1 0.493064714645
eif4a1a hsp90aa1.2 0.445105882502
bmp4 notch1b 0.582767016121
cdc42 grb2b 0.567647058824
junba kras 0.352342499854
flt1 jupa 0.502207024592
unm_m719 unm_m738 0.411764705882
gnb2l1 impdh2 0.39834422277
ak2 rpl3 0.387698661508
ak2 rpl7 0.348856579484
mapk12b zgc:86709 0.357647058824
mapk12b prkacaa 0.338235294118
mybl2b nop58 0.345231950755
acacb pik3ca 0.439411764706
smo wnt2ba 0.476494781914
ak9 pold1 0.630163344187
pikfyve si:ch211-163m16.1 0.427647058824
ephb4a fgf4 0.455320676391
syk tubg1 0.519459559617
nifk snrpd1 0.479900350979
gnb2l1 impdh1a 0.452085624619
gnb2l1 impdh1b 0.39834422277
ihha scube2 0.359585586385
csf1ra stat1b 0.34794541866
acta1a hsp90aa1.2 0.406470588235
acta1a hsp90aa1.1 0.413529411765
cdk1 smad7 0.435454740576
fgfr1a grb2b 0.571764705882
fgfr1a grb2a 0.569411764706
plk1 skp1 0.793374879078
gnb2l1 igf1ra 0.598422032748
fosl2 foxo3b 0.426786839252
hsp90ab1 mcm7 0.343867256595
igf1ra stat3 0.407574694441
mapk1 rhobtb1 0.351176470588
acta1b si:dkey-24p1.4 0.367058823529
hspa8 nos1 0.380434671054
foxo3b jun 0.491400384429
met uckl1b 0.39
met uckl1a 0.39
pik3ca rela 0.359411764706
polr2b rrm1 0.517869480123
ilk rhoua 0.445560841065
impdh2 rpl5a 0.437591857625
cib2 scn12aa 0.43705897207
actb1 prkcbb 0.369411764706
nop58 snu13b 0.642938778198
bmpr2b syk 0.470468819967
egf rhoab 0.374279037795
rac2 vps45 0.605882352941
dhx8 fgfr1a 0.401547659384
ccna2 ptena 0.359885556552
ccna2 ptenb 0.336366918868
ehmt1b mapk14a 0.391176470588
cdh23 kras 0.390379009636
chd nkx2.7 0.370689572591
ehmt2 nos1 0.49105443224
ctnnd1 mapk9 0.336239965563
hhip polr2d 0.355065267992
myo16 rac3a 0.475882352941
myo16 rac3b 0.479411764706
btk casp3a 0.365093883239
bmp2a wnt3a 0.515634135871
gnav1 zgc:110250 0.411764705882
lef1 scn4ab 0.3446162679
lef1 scn4aa 0.3446162679
bmpr1bb rgmd 0.354413874077
bmpr1bb rgma 0.354413874077
bmpr1bb rgmb 0.354413874077
myhz2 rhoua 0.427829956278
akt2 desma 0.471848644172
bmp4 igf1rb 0.479030919201
bmp4 igf1ra 0.476677978025
gtf2b si:dkey-110j1.3 0.361764705882
actl6a snrpd1 0.440408153774
polr2i rpa1 0.544705882353
rhobtb2b si:ch211-163m16.1 0.446470588235
prpf31 zgc:171795 0.53
pnpla6 prkacba 0.485882352941
ehmt2 jak3 0.499869057079
dhx8 mybl2b 0.702010419973
cct5 kras 0.380523110706
mcm7 snrpc 0.529411764706
akt3a rem2 0.359411764706
cdk5 gli2b 0.361416197128
hadhaa top2b 0.373529411765
unm_t30629 unm_t31489 0.411764705882
fgfr2 junba 0.34797283456
cct2 met 0.360531499203
cps1 hsp90aa1.2 0.383049073494
mapk12b vegfaa 0.532941176471
fynb syk 0.397647058824
mapk13 rac2 0.43
rras zgc:171516 0.383529411765
polr3b umps 0.363529411765
ankrd52b pold1 0.368235294118
gnav1 prkacb 0.441176470588
jak1 rras 0.331609082794
mapk14a rab11a 0.400396534975
7955.ensdarp00000107775 gdf11 0.440588235294
gnai1 rhoab 0.411764705882
bmp1a eda 0.334020512785
gnai1 rhoae 0.365882352941
gnai1 rhoad 0.4
gnav1 rac1l 0.344705882353
gnav1 rac1b 0.36
kita ppm1ba 0.357647058824
cad paics 0.816584217445
col11a2 kdrl 0.348122534715
pola1 snrpd1 0.457336034565
