protein1 protein2 combined_score
smarca4 trp53 0.639991306227
mtor trp53 0.597731941515
smad4 trp53 0.618050614934
smad2 trp53 0.44213126266
ccnf trp53 0.361395924542
junb trp53 0.373058251184
uchl1 usp14 0.526465405296
mysm1 uchl1 0.337679020735
acp5 tg(col10a1-tg*l2263p)1rpbh 0.300987587951
itga10 tg(col10a1-tg*l2263p)1rpbh 0.315070668995
sfrp2 sfrp4 0.327934561143
fgf21 sfrp2 0.301511188771
fgf9 sfrp2 0.303903821041
fgf8 sfrp2 0.3191955306
fgf4 sfrp2 0.362271319949
fgf2 sfrp2 0.303462797086
fzd3 sfrp2 0.447475743603
gdf5 sfrp2 0.31123966486
ihh sfrp2 0.376967267677
fgf23 sfrp2 0.306336877817
runx2 sfrp2 0.33424596846
sfrp2 wnt1 0.506736869944
sfrp2 wnt4 0.57081946764
col1a2 sfrp2 0.346264883397
sfrp2 sp7 0.312350416373
grem1 sfrp2 0.301831601353
bgn sfrp2 0.307418104217
sfrp2 sost 0.3151670681
ptch1 sfrp2 0.359757426602
sfrp2 wnt7a 0.627294655552
lef1 sfrp2 0.320164765942
sfrp2 wnt5b 0.637601424438
sfrp2 wnt5a 0.583705739139
fgf18 sfrp2 0.372164663562
sfrp2 wnt3a 0.588657653714
axin1 sfrp2 0.380344422939
dkk1 sfrp2 0.493771486392
pth sfrp2 0.308005932177
lrp6 sfrp2 0.374726061507
ryk sfrp2 0.413535526875
pcolce sfrp2 0.314506348226
sfrp2 tnfrsf11b 0.304941495999
sfrp2 shh 0.317845349654
ctnnb1 sfrp2 0.365041434545
sfrp2 wnt3 0.505001399837
postn sfrp2 0.340701939496
sfrp2 wnt10a 0.643926646082
sfrp2 shox2 0.346798527752
lrrk1 sfrp4 0.3018786358
fzd3 sfrp4 0.435086300013
fgf23 sfrp4 0.415853663439
runx2 sfrp4 0.303696967308
sfrp4 wnt1 0.499146336156
sfrp4 wnt4 0.563104711847
bgn sfrp4 0.323080850719
sfrp4 sost 0.383929342273
sfrp4 wnt7a 0.577907246615
sfrp4 wnt5b 0.600004681726
sfrp4 wnt5a 0.548107991297
sfrp4 wnt3a 0.552399189042
dkk1 sfrp4 0.40444151616
lrp6 sfrp4 0.350297174343
ryk sfrp4 0.343229525968
irak3 sfrp4 0.312944212151
sfrp4 tnfrsf11b 0.31113030324
ctnnb1 sfrp4 0.318795704257
sfrp4 wnt3 0.497607727557
sfrp4 wnt10a 0.583175699751
ube2g1 ube3c 0.540789936351
lrrk1 ube2g1 0.341929177728
atad2b ube2g1 0.35965625486
ankib1 ube2g1 0.329450866182
chuk ube2g1 0.305651669406
ttc28 ube2g1 0.300292535429
mysm1 ube2g1 0.335568141595
ube2g1 ube2j1 0.315174541655
mex3c ube2g1 0.339802580685
rnf10 ube2g1 0.344978016666
